surface,chambres,distance_centre,annee_construction,prix
132,3,13.5,1977,367763
21,3,10.0,1991,55314
149,5,15.7,1981,442710
73,1,13.7,1997,148633
106,5,4.1,1976,411535
148,3,19.6,1982,387247
166,3,7.3,1983,550133
145,1,19.0,2009,358160
149,4,19.9,1967,363321
72,2,5.4,2000,271317
191,3,2.8,1965,631215
179,3,23.6,1964,437944
179,4,14.3,2003,552333
87,4,2.7,2016,352054
142,5,29.9,1988,322899
164,5,2.7,1987,613362
57,2,21.2,1970,43655
43,2,29.5,2016,-8104
88,1,7.9,1960,227772
135,5,5.1,2002,493733
117,3,4.5,1978,384485
158,5,9.8,1968,492770
163,3,3.9,1986,569041
116,4,21.1,1993,341556
143,5,2.8,2003,524413
89,4,15.8,1963,244420
112,2,29.9,1995,160148
22,2,24.6,1977,-88150
167,1,18.8,1974,440820
183,5,9.9,2010,585078
166,4,19.1,1972,417692
109,3,16.3,1978,270782
166,2,13.4,2008,491621
167,2,4.8,1965,537848
115,3,26.7,2007,230021
71,4,14.0,2015,203032
180,4,6.6,1971,604078
187,5,11.7,2010,546806
147,5,13.0,1996,444305
58,1,25.0,1976,6738
101,2,22.3,2017,217592
123,5,23.3,1982,322916
148,4,1.3,1985,517838
30,3,13.1,1988,79593
197,4,15.0,1992,577676
170,2,1.6,2019,588449
178,4,8.5,1986,585951
61,1,23.0,1984,33748
118,2,5.0,2015,417492
26,3,16.5,2014,14915
163,1,7.2,1969,475382
109,2,1.4,2006,412027
131,3,8.0,1982,395978
79,1,29.3,1980,48375
132,1,24.2,1980,220233
21,2,28.8,2002,-76028
148,5,15.1,1972,457548
67,1,4.2,1996,268943
159,1,16.9,1992,431440
56,3,14.2,1983,99691
179,4,25.5,2003,463782
28,2,3.8,1970,75484
118,2,15.2,1976,325888
166,5,5.4,1963,542865
67,5,10.4,2006,206092
150,2,22.4,1984,310736
167,5,14.8,1989,495696
171,3,11.9,1968,487204
73,2,12.4,1980,148848
139,5,14.3,1979,454504
180,2,23.8,1978,435473
171,4,26.9,1978,409481
135,1,28.7,1971,254645
94,2,23.8,1996,163363
132,1,10.1,2001,361751
183,5,21.0,1976,466948
185,1,13.7,1996,499374
123,2,8.4,2013,413124
103,4,25.4,2007,184911
131,5,2.1,1998,503347
118,2,27.2,1987,224569
172,5,14.4,2000,536044
112,3,19.5,1994,272548
165,1,20.1,2006,418141
147,3,27.0,2007,330818
129,2,19.5,1977,327774
101,4,18.8,1973,218461
73,5,2.9,1994,306945
182,1,16.0,2003,454264
188,5,5.4,2000,612285
180,2,22.4,2019,454781
87,5,15.9,1966,240432
52,1,20.7,2000,68200
161,2,2.2,1972,581927
40,5,3.5,1977,210225
67,4,21.8,1996,132756
167,2,3.1,1972,548875
147,2,3.1,1995,462743
155,4,1.4,1990,557270
154,3,28.7,1961,334199
164,1,22.4,1975,386163
147,3,11.2,1968,403718
52,5,9.6,1968,180884
195,4,11.1,1997,623936
134,3,23.5,1970,298078
138,2,20.2,2013,336104
41,5,6.4,2015,196046
177,5,6.0,1981,617452
57,3,3.9,1992,199743
128,3,20.1,1995,320010
70,4,23.2,2004,116877
27,1,8.7,1982,13164
46,3,1.6,2004,190108
46,3,3.4,2004,155862
40,2,29.1,1993,-38441
49,5,9.6,1968,166374
116,1,23.3,1983,204130
47,2,19.1,1967,59388
130,4,12.1,1966,383749
80,4,7.0,1995,249156
67,3,4.5,1977,222948
166,3,18.8,1962,459174
23,4,23.5,1987,-54004
54,3,19.7,1965,68418
68,1,16.4,2003,137947
36,3,2.2,2003,175766
191,5,29.1,1980,512499
177,3,24.2,1987,408072
65,2,9.5,1999,160036
136,1,29.4,2013,218151
25,2,18.5,2013,-17054
118,2,17.9,1960,286465
143,5,22.7,1995,347912
56,1,24.5,1980,30136
43,1,20.0,2019,22499
112,1,4.7,2002,334501
65,1,10.8,1994,118494
114,1,27.9,1972,131933
118,5,7.5,2016,407172
135,3,11.8,2008,403274
179,2,13.5,2013,547979
180,1,13.7,2013,523539
86,3,18.8,1969,157719
147,3,28.3,2012,322779
37,2,8.0,2003,139090
44,5,4.5,2006,240090
73,4,6.7,2012,259498
77,4,26.7,1969,116299
86,3,19.7,2005,212670
123,2,9.3,1972,325128
193,4,24.7,1996,488052
43,3,26.0,1997,37662
133,5,25.5,1983,301687
51,4,27.6,1961,-56069
194,3,8.3,1981,607360
105,3,22.9,1976,228322
170,1,14.4,1995,461785
146,5,25.4,1973,359663
174,1,22.1,1969,418054
149,2,23.5,1994,328565
36,1,20.0,1984,-28417
123,1,6.1,1962,363505
180,4,16.8,2006,528109
156,3,29.6,1997,327338
62,5,28.2,1976,57829
195,1,2.3,1971,611512
58,5,5.8,2013,255868
189,1,4.8,2011,618723
45,2,22.1,1983,-17647
118,1,24.7,1988,201090
69,4,7.2,2002,246126
172,3,15.7,1984,471355
171,2,25.4,1995,404404
32,1,22.3,2017,-33447
79,5,16.7,2019,226882
154,2,18.1,1985,382325
76,2,15.7,1997,125895
55,1,9.6,1960,72961
192,2,17.4,1979,526607
39,5,21.0,2014,64316
84,2,26.3,1987,110462
27,5,19.5,1975,15969
163,1,23.1,2006,379311
161,3,5.6,1976,542443
134,2,14.4,1999,372111
162,3,1.3,1987,587553
111,5,8.2,2017,396899
117,2,22.1,1971,227353
85,4,29.8,1986,110784
51,3,3.9,2013,186967
105,2,12.6,2012,283256
70,3,24.2,2001,99434
172,2,6.9,2018,557350
82,1,17.1,2006,161491
144,3,22.3,1989,314463
169,4,18.9,2000,482619
77,4,6.5,1993,287962
77,5,11.3,1996,281824
105,2,23.7,1965,187495
68,3,17.1,1966,129048
199,5,1.2,1991,697826
189,3,23.1,1991,510590
89,2,2.0,2012,329564
34,4,22.6,1984,3657
73,1,6.9,1992,204543
120,4,28.8,2014,234367
27,5,11.7,2017,110303
72,1,10.5,1966,144123
79,5,5.3,2011,343266
127,2,9.9,2016,413650
24,1,26.4,2021,-96164
122,5,29.9,1971,214473
25,2,11.7,1975,-16251
128,4,14.0,1975,339994
135,2,21.9,2002,322077
113,3,26.7,2012,225309
66,2,18.2,1995,122986
118,2,12.4,1972,277854
74,3,13.0,1966,173155
187,5,21.2,1995,548862
71,5,1.1,2006,314532
163,2,19.0,2010,399409
32,3,11.3,1968,58693
133,3,24.0,1991,278425
143,4,3.7,1970,499699
125,5,18.1,1967,334447
177,1,14.9,1992,488680
166,5,19.6,1982,435822
164,5,2.9,1984,579779
139,4,17.8,2015,411552
82,1,17.3,1967,115549
38,4,17.3,2004,45464
111,1,18.5,1981,236676
77,2,20.6,2018,146194
109,1,24.3,1963,160765
136,4,8.8,1999,438532
81,5,24.9,1962,146453
42,1,15.4,1988,56797
146,1,3.2,2000,454938
156,3,2.7,1988,543902
159,5,10.7,1993,544997
148,2,23.8,1993,327686
77,4,21.5,1987,126121
141,2,23.9,1972,273719
20,5,16.0,1974,14778
53,1,13.8,2019,124690
115,1,5.3,1982,350975
145,5,10.5,2003,480143
137,1,13.6,1985,337280
67,1,3.6,1963,222007
108,1,7.4,1985,291004
136,4,18.3,1999,357821
148,4,22.3,1968,371524
35,3,30.0,2014,-96405
88,2,28.1,1964,92596
41,5,19.6,2015,55843
112,5,13.2,1991,343501
95,5,19.4,1979,225865
173,3,23.8,2009,474945
163,4,4.4,1970,543283
198,3,12.9,1974,619355
105,5,25.4,1991,235404
48,2,12.1,1987,84021
88,1,17.6,1981,173041
66,4,18.0,2000,140749
113,4,6.3,1976,383644
163,3,11.5,2018,489283
195,4,10.7,1985,644696
104,5,1.8,2003,433730
58,5,1.7,1966,250623
119,3,25.1,2001,279928
52,5,8.9,2016,199533
120,2,16.0,1985,320258
42,3,9.7,1984,114861
29,2,28.3,1969,-91059
88,1,8.5,2018,255814
119,2,13.5,2004,327025
53,1,26.3,1978,-13462
199,1,25.4,1970,440076
157,2,6.4,1972,479203
166,3,24.3,2012,403651
115,5,14.3,1967,336794
20,5,15.0,1999,37839
88,1,4.9,1963,282593
23,1,3.3,2006,101842
35,3,22.1,1990,-8808
43,4,15.4,1987,115556
99,2,13.7,1970,279911
21,1,22.2,2002,-114922
147,5,23.2,1960,378446
179,3,5.6,2008,583073
103,2,18.7,2006,249042
171,3,4.9,2011,603062
159,2,22.8,1997,357441
197,2,20.1,1983,474439
182,1,28.7,2013,410674
143,3,3.0,2019,510809
52,3,2.7,2016,184794
180,5,9.2,2006,651123
198,5,8.6,1990,667372
190,1,8.2,2000,591102
120,1,27.3,2005,230565
31,4,8.2,2009,106188
86,5,8.9,1985,294216
84,2,23.0,2008,112233
180,3,14.0,2009,521001
187,1,23.5,1964,434916
93,3,2.9,1979,295629
62,3,15.1,2011,135057
63,4,2.0,2000,247242
48,5,2.8,1970,213906
160,1,27.3,2015,347700
31,3,5.0,2013,145238
114,1,16.4,1992,284254
65,2,12.9,2009,186568
149,4,11.1,1997,478861
54,2,27.1,1986,36785
100,1,1.6,1993,340827
109,1,20.2,1974,205334
27,5,28.9,1991,-42461
112,3,17.2,2020,291112
173,3,28.2,2017,438808
109,2,2.5,1980,391295
181,4,13.1,2005,571545
134,3,8.5,1964,410071
124,5,22.2,1965,288599
154,2,29.5,1997,319665
77,2,8.4,2021,216843
133,5,20.0,1981,382018
94,4,6.7,2021,333788
176,5,17.4,1977,513645
139,4,14.5,1973,377475
183,5,29.2,1969,446054
40,5,18.6,2005,67246
183,1,11.1,1972,530499
157,2,4.3,1990,528077
120,5,5.4,1989,417458
171,5,7.5,1962,540455
196,3,8.3,1989,651113
118,2,25.7,1965,200911
55,3,17.3,1988,101293
115,2,16.2,1967,281782
171,3,4.3,2003,553999
170,5,25.9,2004,442700
56,5,22.0,2002,101489
31,1,3.0,2003,99130
132,3,21.5,1992,288051
32,4,16.8,1976,48416
42,1,3.4,2007,168493
118,3,14.3,1970,316846
124,3,15.1,1972,298661
49,1,5.8,2009,128693
36,5,28.4,1970,-40844
132,3,25.6,1990,308498
81,5,20.4,1987,179551
103,1,14.4,2003,241476
131,5,12.9,1965,359700
105,2,19.9,2000,213840
160,4,16.8,1975,420301
38,3,2.8,1963,125589
196,4,15.9,1994,579698
119,5,24.4,2019,282191
159,3,14.3,2007,496746
166,5,2.5,2015,635206
95,2,23.8,2018,160405
28,1,6.8,1985,44047
47,3,8.5,2021,185552
147,2,5.8,2016,515388
71,2,10.6,1971,134205
102,3,22.9,1970,194690
130,5,16.1,1996,375464
163,2,6.9,1984,521049
136,4,26.5,1977,330896
88,2,26.5,1978,98855
118,5,26.2,1982,212411
159,5,7.9,2014,558979
44,4,14.1,1997,134411
199,2,29.6,2013,450707
142,5,23.4,1977,336692
72,3,1.8,1985,264851
170,1,2.9,1965,555376
163,1,14.5,1963,413378
76,1,27.4,2003,67336
58,2,16.6,2010,108177
128,4,15.4,1988,358599
61,5,4.1,2018,280755
186,3,20.0,2020,500255
161,3,24.8,1993,369360
141,2,12.0,1976,408894
152,1,23.5,2002,314719
182,2,29.0,2002,384037
94,4,6.9,2012,306319
165,4,16.2,1975,483067
95,5,9.3,1961,302779
28,5,24.0,1993,-37114
93,4,17.8,2014,259674
164,4,19.4,1967,421966
26,4,24.1,1972,-61349
193,2,12.5,2001,564321
160,4,27.5,1967,384773
187,3,16.5,1989,518338
189,1,5.6,1991,602161
156,4,21.2,1995,421793
197,1,24.0,2006,485228
46,2,10.2,1989,135632
141,1,25.9,1960,245192
24,2,27.3,2002,-111291
48,3,9.0,1998,124098
184,2,29.5,1976,387733
185,2,5.1,2018,591413
102,5,6.9,1979,358983
155,4,6.3,1983,518299
128,4,26.9,2009,299065
84,3,20.0,1981,170327
105,3,5.4,1988,343388
164,4,13.8,1981,493361
90,5,18.8,2003,213146
64,4,3.4,1968,240673
151,5,26.6,1996,369867
55,3,24.3,1969,33650
89,1,15.7,1995,200393
178,3,29.0,1996,387345
38,3,13.1,1987,98220
127,2,29.5,1987,250029
186,2,20.4,2001,450689
110,2,19.4,2022,233444
109,2,5.8,2002,354160
38,5,26.6,1980,-11138
58,4,13.4,1983,187850
145,1,5.7,2001,458257
192,3,1.4,2019,705825
160,5,17.2,1999,427654
145,1,16.3,1961,365426
77,5,21.9,2014,159199
167,5,26.8,1967,383729
80,3,3.3,2007,293110
146,4,22.2,1986,334001
124,2,6.4,1981,394676
186,4,25.9,1996,469917
20,3,24.8,1986,-70698
150,3,16.7,2016,437276
111,3,21.6,1988,271719
132,1,10.1,1962,350196
172,4,14.7,2003,524136
75,4,24.8,1972,113240
180,5,14.3,2004,566002
185,5,11.4,1969,588342
136,5,15.3,1995,436852
153,3,25.0,1968,329252
77,4,10.7,2013,216617
63,3,6.0,2015,211829
192,1,21.6,2014,498358
179,5,25.0,1986,461639
192,3,3.9,1993,635200
80,3,8.0,2010,240819
66,1,5.1,1960,189688
168,2,11.1,1991,507267
99,4,14.1,1984,282436
137,2,22.7,1988,295605
183,5,19.9,1966,507466
166,3,19.0,2008,450961
39,1,11.2,1962,54842
165,1,25.4,1979,325598
66,4,14.7,1979,167307
68,2,29.4,2012,29635
33,4,19.4,1989,45791
162,3,4.7,1994,545764
178,4,20.6,1994,498436
20,1,10.4,2008,13540
136,1,20.9,1998,296657
73,5,3.0,1986,327328
137,5,6.1,1985,486054
22,3,25.8,1973,-98921
163,2,7.6,1976,516833
31,4,25.3,1977,-45159
93,3,9.1,2004,296321
35,5,19.6,2011,92084
121,4,21.1,1988,263531
171,5,15.9,1979,501248
175,4,9.9,2012,575333
136,2,7.2,1986,436160
27,3,2.0,1977,99375
141,4,9.8,1963,403468
111,1,19.9,1960,232481
183,1,28.2,2009,385004
109,4,26.3,1960,183434
155,4,23.2,2017,429777
79,4,23.9,1985,135774
197,1,20.3,2004,506648
47,1,8.5,1979,102917
120,4,27.3,2011,226551
60,5,20.5,1982,127904
174,5,17.3,1969,506466
164,2,4.2,2018,553424
180,3,14.0,1970,511956
176,5,14.4,2000,537550
160,1,26.1,2000,356670
65,5,16.9,1964,147351
54,2,12.0,2017,133765
153,2,29.3,1960,295580
101,3,4.2,1976,346672
134,5,13.3,1981,441114
66,1,2.2,1993,189722
172,1,22.5,2015,419240
29,4,27.6,2004,-60305
75,1,9.1,2000,183189
49,3,25.9,1988,-476
128,3,9.5,1963,381398
24,1,27.4,1964,-123517
138,1,22.9,1970,248334
52,4,24.3,2015,48339
137,1,1.5,2010,471846
84,4,28.9,1980,89889
165,4,22.1,1994,406116
196,1,9.8,1971,523875
30,2,25.1,1985,-75183
104,2,9.2,2010,291494
45,4,26.3,1978,-17157
82,1,4.3,2004,259844
105,2,21.4,2019,212248
78,1,16.7,1966,110833
46,1,3.8,2006,112487
196,1,8.0,2014,611126
180,5,1.4,1966,658178
117,1,14.6,1985,277210
124,5,9.7,1999,408090
118,4,18.4,1964,292837
148,2,9.6,1980,468216
168,2,9.7,1973,465164
74,2,22.6,1963,79589
25,2,2.4,1982,67391
114,2,27.2,2001,205074
152,2,25.7,1979,317295
121,2,20.4,1974,265329
22,4,18.2,2009,12335
42,1,26.9,2011,-20300
72,3,6.4,2004,257166
184,5,3.3,1988,668089
102,3,7.9,1967,290022
164,3,24.0,2000,421321
104,1,2.0,2007,340809
97,1,17.9,1978,177891
129,1,29.9,2007,217775
20,2,25.8,1998,-87483
70,4,16.1,2005,156087
192,2,2.8,1987,631669
23,4,25.1,2005,-15013
132,4,18.4,2016,334070
51,3,4.3,1986,216239
53,3,3.7,1963,181491
111,4,27.4,2017,177911
114,4,20.4,1974,241210
91,2,25.0,1994,118535
58,2,26.5,1996,9198
173,3,17.6,1960,455854
181,1,16.0,1962,413082
137,4,13.5,2006,417276
22,2,10.2,1983,9266
142,3,13.6,1986,431384
69,2,23.4,1999,77356
31,4,18.5,2022,61410
73,4,26.9,2020,130741
152,5,13.9,1995,489701
76,1,18.6,1993,114527
164,5,19.3,1988,447752
131,3,18.2,1983,325926
66,2,21.4,1983,94413
170,3,7.9,2001,536201
104,4,15.9,1963,265046
161,5,4.0,1962,564491
85,5,12.2,1993,248195
94,5,15.1,2016,263299
198,3,19.9,2008,540118
122,4,28.6,1982,232360
185,2,18.4,2012,509326
57,2,22.6,2015,72823
69,3,15.7,2011,143865
117,5,19.4,1982,289046
101,1,3.1,2004,316328
49,3,8.4,1964,165030
98,3,11.5,1990,279244
110,4,14.7,2021,325204
198,2,2.3,2012,672164
71,3,5.1,2021,247901
185,3,9.0,2000,616064
98,5,29.2,2016,191424
49,5,10.6,2020,177719
125,1,15.0,2016,301061
70,4,6.7,2019,236766
100,1,18.7,2013,205620
152,5,9.1,1965,476781
48,2,7.0,1996,124228
151,5,16.0,2016,450935
157,4,1.2,1969,553294
164,5,1.2,1999,612357
93,4,7.4,1966,291697
36,4,2.1,1998,157528
103,4,4.1,1997,355579
88,4,10.8,1980,289243
53,4,24.3,2020,40364
25,2,17.6,1979,-13951
72,1,15.9,1962,129852
145,3,9.5,2010,455485
62,1,28.0,1981,35089
134,4,12.5,2006,421726
130,2,3.5,1963,456152
170,5,18.9,1987,468319
99,2,4.3,1971,305210
114,4,11.0,1997,365758
137,2,15.7,2010,362451
163,2,26.4,2022,405493
27,4,15.3,1995,48231
151,2,21.4,2006,344384
123,3,29.8,2000,185530
151,3,4.8,1964,490129
44,2,9.0,1972,103279
115,5,12.4,1982,360733
174,4,13.2,2017,563649
112,3,12.9,2009,346125
179,5,27.3,1989,432156
197,2,21.7,2021,491368
80,5,18.6,1996,175283
141,1,10.0,1984,383689
70,3,24.9,2007,86045
166,2,28.7,1986,350727
40,4,24.8,2010,-1537
24,2,1.0,1973,110544
111,4,19.5,2016,294795
189,2,2.5,2021,648303
80,5,8.5,2007,264162
41,5,2.7,2018,222746
168,5,18.5,2006,529144
89,1,20.9,2013,163929
20,4,4.3,1995,47877
152,5,12.1,1998,508166
31,1,14.2,1975,-6201
109,4,11.7,2015,387993
65,2,4.5,1981,214749
53,1,13.1,1980,55710
196,3,22.8,2013,475132
97,1,3.1,1980,341721
64,1,3.3,1967,218816
174,4,11.3,2008,595013
92,2,28.3,1975,105638
45,3,20.4,2018,53760
66,5,20.7,2014,140094
140,5,11.5,1990,432868
75,1,18.2,2001,121922
113,4,1.3,1969,420098
126,4,19.4,1991,306247
82,5,27.5,2018,113131
67,3,18.8,1993,128980
80,2,26.3,2022,88978
100,3,22.0,2021,154749
45,2,4.5,1968,153081
55,5,27.2,1976,19469
20,2,2.9,1970,88820
27,4,16.5,1991,42776
132,1,5.1,1969,406595
118,1,1.3,1981,442320
199,5,13.2,2016,631127
66,4,9.6,1976,197037
146,3,15.1,1963,406621
75,4,17.7,2007,180480
33,1,2.3,2011,151162
47,1,4.6,2006,126487
97,4,17.2,1984,219751
149,4,11.0,2018,493501
128,1,22.1,1980,234135
173,3,19.9,1996,469450
33,5,25.5,1997,2319
75,5,21.1,2008,156451
134,4,13.5,1960,388399
26,5,20.5,2022,379
22,1,9.0,1984,5513
130,1,9.9,2010,372191
170,4,23.9,1995,432033
126,4,13.9,1976,353557
37,4,24.2,2000,13838
57,3,24.9,2022,67367
134,5,25.9,1983,338932
34,4,27.6,1961,-53265
138,2,13.5,1999,407002
47,2,10.2,1974,123837
58,1,17.9,1991,118909
36,5,11.8,1998,112542
105,4,18.4,2018,269143
145,2,21.5,1965,349957
63,5,21.0,1960,116598
44,1,11.9,2006,109536
164,3,5.8,1982,548424
32,5,13.5,2017,55881
44,5,5.1,1998,201244
87,3,26.8,2020,145121
157,5,11.0,2021,522318
86,1,5.5,2016,271720
128,1,1.7,1976,386853
165,3,19.7,1993,449152
130,4,19.5,2018,356714
130,2,10.9,2000,401018
53,4,3.1,1988,188187
130,5,12.9,1968,402108
27,2,10.0,1972,37504
187,3,20.6,1965,483683
132,3,18.6,1965,316896
102,2,11.6,1979,284186
61,1,7.3,2011,173891
188,2,29.7,2012,399337
120,5,14.2,1962,348400
25,1,21.0,1976,-68963
199,3,5.1,2022,670523
45,2,15.1,2008,13586
83,4,1.8,1971,330364
78,4,15.7,2007,201541
128,5,29.0,2006,248984
140,4,12.1,2004,451315
52,2,2.1,2014,219080
169,2,1.9,1960,549071
40,4,12.3,1976,74943
89,2,5.6,1962,274234
131,5,1.7,1985,495744
23,1,22.9,1974,-69354
113,5,14.3,1995,330847
94,5,9.4,1991,340093
81,2,27.1,1991,77075
113,1,4.4,1963,316239
114,2,28.7,1977,150881
171,3,10.1,2008,534111
74,2,26.8,1978,60380
156,2,18.5,2002,408874
150,2,25.0,2011,333896
50,1,29.5,1994,-24744
59,2,9.4,1999,158168
55,1,28.9,1973,-73408
171,4,12.3,2017,534918
25,3,12.2,1992,3425
85,1,10.9,1973,211958
94,4,16.7,1993,264837
23,1,5.5,2020,55113
98,1,17.1,2014,247510
153,3,16.7,1963,419281
137,5,23.1,1983,364268
132,5,25.2,2018,328784
113,1,13.8,1988,260562
198,2,9.8,1978,610074
81,4,8.5,1965,241042
98,2,6.6,2016,320804
155,2,2.7,1992,517198
45,1,10.9,2008,118045
198,1,8.8,1999,612009
192,1,29.0,1978,404579
63,1,17.2,2012,66179
152,5,11.1,1960,460127
89,1,17.8,1964,173215
173,5,5.0,1986,606908
137,5,13.9,1975,379817
87,1,19.2,1965,106481
38,3,15.2,1999,68585
39,4,12.7,1972,68446
132,2,29.8,2007,218111
159,5,26.5,2021,415519
66,4,19.1,1994,159614
20,3,17.5,1978,-37109
109,2,19.0,1971,231411
161,2,6.8,1975,496510
83,5,12.5,2018,266643
57,1,2.1,2002,202057
56,3,14.8,1969,125503
145,5,16.7,1984,403539
158,3,7.6,1979,468756
119,1,29.0,1990,212945
96,1,27.4,1963,126494
22,5,21.9,2003,-30709
180,1,16.5,1982,472966
153,4,26.2,1961,360481
197,2,4.8,2015,664569
29,5,23.9,1981,-3858
24,3,4.6,2010,106437
170,4,24.0,2016,474289
157,5,9.0,1996,527839
191,1,26.4,1967,407915
149,1,28.4,1966,285203
32,1,5.3,1973,83300
187,1,14.4,2015,532555
149,3,29.4,2014,317273
103,4,15.0,1962,280384
84,2,26.0,2009,95387
82,3,18.1,1975,141292
120,3,11.9,2014,389606
92,2,9.3,1978,264089
36,2,6.9,2010,130469
28,1,23.1,1977,-106832
162,3,12.2,2011,512556
171,5,15.8,1975,492654
57,2,15.3,1967,77556
182,2,17.7,2019,498703
113,4,26.1,1992,209226
114,5,29.4,2008,228233
68,5,12.8,1971,192813
88,2,25.0,2021,163323
81,1,23.2,2012,145096
